instance_id,message_family_id,variant,romanized_message,source_register,domain,intent,speaker_role,recipient_role,authority_relation,relative_age,familiarity,setting,changed_cue_from_A,comparison_ids,primary_register,secondary_register,acceptable_registers,answerability,gold_confidence,reason_codes,english_token_ratio,code_mix_level,spelling_noise_level,authoring_source,human_revision_status,split,dataset_version
F004-B,F004,B,Client er file ta ajker moddhe dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,WORK_TEAM_MEMBER,WORK_TEAM_MEMBER,HIGHER,SIMILAR,HIGH,SEMI_FORMAL,AUTHORITY,F004-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F004-C,F004,C,Client er file ta ajker moddhe dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,WORK_TEAM_MEMBER,WORK_TEAM_MEMBER,EQUAL,SIMILAR,LOW,SEMI_FORMAL,FAMILIARITY,F004-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F005-A,F005,A,Agamikaler shift er shomoy ta confirm kora dorkar.,UNCLEAR,PROFESSIONAL,QUESTION,STAFF_MEMBER,STAFF_MEMBER,EQUAL,SIMILAR,MEDIUM,INFORMAL,NONE,F005-B|F005-C,TUMI,,TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F005-B,F005,B,Agamikaler shift er shomoy ta confirm kora dorkar.,UNCLEAR,PROFESSIONAL,QUESTION,STAFF_MEMBER,STAFF_MEMBER,EQUAL,OLDER,MEDIUM,INFORMAL,AGE,F005-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F005-C,F005,C,Agamikaler shift er shomoy ta confirm kora dorkar.,UNCLEAR,PROFESSIONAL,QUESTION,STAFF_MEMBER,STAFF_MEMBER,EQUAL,SIMILAR,MEDIUM,FORMAL,SETTING,F005-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F006-A,F006,A,Ei prostab ta onumodon kora dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,PROPOSAL_AUTHOR,PROPOSAL_REVIEWER,EQUAL,SIMILAR,MEDIUM,SEMI_FORMAL,NONE,F006-B|F006-C,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F006-B,F006,B,Ei prostab ta onumodon kora dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,PROPOSAL_AUTHOR,PROPOSAL_REVIEWER,HIGHER,SIMILAR,MEDIUM,SEMI_FORMAL,AUTHORITY,F006-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F006-C,F006,C,Ei prostab ta onumodon kora dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,PROPOSAL_AUTHOR,PROPOSAL_REVIEWER,EQUAL,OLDER,MEDIUM,SEMI_FORMAL,AGE,F006-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F007-A,F007,A,Bari pouchhanor por ekbar janale bhalo hoy.,UNCLEAR,FAMILY,REMINDER,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F007-B|F007-C,TUMI,TUI,TUMI|TUI,ANSWERABLE,HIGH,FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F007-B,F007,B,Bari pouchhanor por ekbar janale bhalo hoy.,UNCLEAR,FAMILY,REMINDER,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,OLDER,HIGH,INFORMAL,AGE,F007-A,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F007-C,F007,C,Bari pouchhanor por ekbar janale bhalo hoy.,UNCLEAR,FAMILY,REMINDER,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,SIMILAR,LOW,INFORMAL,FAMILIARITY,F007-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F008-A,F008,A,Ghorer kaj e ektu shahajjo dorkar.,UNCLEAR,FAMILY,REQUEST,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F008-B|F008-C,TUMI,TUI,TUMI|TUI,ANSWERABLE,HIGH,FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F008-B,F008,B,Ghorer kaj e ektu shahajjo dorkar.,UNCLEAR,FAMILY,REQUEST,FAMILY_MEMBER,FAMILY_MEMBER,HIGHER,SIMILAR,HIGH,INFORMAL,AUTHORITY,F008-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F008-C,F008,C,Ghorer kaj e ektu shahajjo dorkar.,UNCLEAR,FAMILY,REQUEST,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,SIMILAR,LOW,INFORMAL,FAMILIARITY,F008-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F009-A,F009,A,Oshudh ta rate khete hobe.,UNCLEAR,FAMILY,REMINDER,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F009-B|F009-C,TUMI,TUI,TUMI|TUI,ANSWERABLE,HIGH,FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F009-B,F009,B,Oshudh ta rate khete hobe.,UNCLEAR,FAMILY,REMINDER,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,OLDER,HIGH,INFORMAL,AGE,F009-A,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F009-C,F009,C,Oshudh ta rate khete hobe.,UNCLEAR,FAMILY,REMINDER,FAMILY_MEMBER,FAMILY_MEMBER,EQUAL,SIMILAR,HIGH,FORMAL,SETTING,F009-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING|KINSHIP,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F010-A,F010,A,Kal campus e dekha kora jabe?,UNCLEAR,FRIENDSHIP,INVITATION,UNIVERSITY_PEER,UNIVERSITY_PEER,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F010-B|F010-C,TUMI,TUI,TUMI|TUI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.167,MODERATE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F010-B,F010,B,Kal campus e dekha kora jabe?,UNCLEAR,FRIENDSHIP,INVITATION,UNIVERSITY_PEER,UNIVERSITY_PEER,EQUAL,SIMILAR,LOW,INFORMAL,FAMILIARITY,F010-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.167,MODERATE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F010-C,F010,C,Kal campus e dekha kora jabe?,UNCLEAR,FRIENDSHIP,INVITATION,UNIVERSITY_PEER,UNIVERSITY_PEER,EQUAL,SIMILAR,HIGH,FORMAL,SETTING,F010-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.167,MODERATE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F011-A,F011,A,Ekta chhoto shahajjo dorkar chilo.,UNCLEAR,FRIENDSHIP,REQUEST,FRIEND,FRIEND,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F011-B|F011-C,TUMI,TUI,TUMI|TUI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F011-B,F011,B,Ekta chhoto shahajjo dorkar chilo.,UNCLEAR,FRIENDSHIP,REQUEST,FRIEND,FRIEND,HIGHER,SIMILAR,HIGH,INFORMAL,AUTHORITY,F011-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F011-C,F011,C,Ekta chhoto shahajjo dorkar chilo.,UNCLEAR,FRIENDSHIP,REQUEST,FRIEND,FRIEND,EQUAL,OLDER,HIGH,INFORMAL,AGE,F011-A,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F012-A,F012,A,Ei thikanay jawar rasta ta jante chachchilam.,UNCLEAR,SERVICE_PUBLIC,QUESTION,PERSON_SEEKING_DIRECTIONS,PUBLIC_CONTACT,EQUAL,SIMILAR,LOW,INFORMAL,NONE,F012-B|F012-C,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F012-B,F012,B,Ei thikanay jawar rasta ta jante chachchilam.,UNCLEAR,SERVICE_PUBLIC,QUESTION,PERSON_SEEKING_DIRECTIONS,PUBLIC_CONTACT,HIGHER,SIMILAR,LOW,INFORMAL,AUTHORITY,F012-A,APNI,,APNI,ANSWERABLE,HIGH,AUTHORITY|FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F012-C,F012,C,Ei thikanay jawar rasta ta jante chachchilam.,UNCLEAR,SERVICE_PUBLIC,QUESTION,PERSON_SEEKING_DIRECTIONS,PUBLIC_CONTACT,EQUAL,SIMILAR,LOW,FORMAL,SETTING,F012-A,APNI,,APNI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0,NONE,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F013-A,F013,A,Appointment er shomoy ta confirm kora dorkar.,UNCLEAR,SERVICE_PUBLIC,FOLLOW_UP,SERVICE_USER,SERVICE_CONTACT,EQUAL,SIMILAR,HIGH,SEMI_FORMAL,NONE,F013-B|F013-C,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F013-B,F013,B,Appointment er shomoy ta confirm kora dorkar.,UNCLEAR,SERVICE_PUBLIC,FOLLOW_UP,SERVICE_USER,SERVICE_CONTACT,EQUAL,OLDER,HIGH,SEMI_FORMAL,AGE,F013-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F013-C,F013,C,Appointment er shomoy ta confirm kora dorkar.,UNCLEAR,SERVICE_PUBLIC,FOLLOW_UP,SERVICE_USER,SERVICE_CONTACT,EQUAL,SIMILAR,LOW,SEMI_FORMAL,FAMILIARITY,F013-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F014-A,F014,A,Group e post korar niyom ta ektu clear kora jabe?,UNCLEAR,ONLINE,QUESTION,ONLINE_GROUP_MEMBER,ONLINE_GROUP_MEMBER,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F014-B|F014-C,TUMI,,TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.3,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F014-B,F014,B,Group e post korar niyom ta ektu clear kora jabe?,UNCLEAR,ONLINE,QUESTION,ONLINE_GROUP_MEMBER,ONLINE_GROUP_MEMBER,HIGHER,SIMILAR,HIGH,INFORMAL,AUTHORITY,F014-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|FAMILIARITY|SETTING,0.3,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F014-C,F014,C,Group e post korar niyom ta ektu clear kora jabe?,UNCLEAR,ONLINE,QUESTION,ONLINE_GROUP_MEMBER,ONLINE_GROUP_MEMBER,EQUAL,SIMILAR,LOW,INFORMAL,FAMILIARITY,F014-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.3,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F015-A,F015,A,Ei tothyer source ta share kora jabe?,UNCLEAR,ONLINE,REQUEST,ONLINE_COMMUNITY_MEMBER,ONLINE_COMMUNITY_MEMBER,EQUAL,SIMILAR,MEDIUM,INFORMAL,NONE,F015-B|F015-C,TUMI,,TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F015-B,F015,B,Ei tothyer source ta share kora jabe?,UNCLEAR,ONLINE,REQUEST,ONLINE_COMMUNITY_MEMBER,ONLINE_COMMUNITY_MEMBER,EQUAL,OLDER,MEDIUM,INFORMAL,AGE,F015-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F015-C,F015,C,Ei tothyer source ta share kora jabe?,UNCLEAR,ONLINE,REQUEST,ONLINE_COMMUNITY_MEMBER,ONLINE_COMMUNITY_MEMBER,EQUAL,SIMILAR,MEDIUM,FORMAL,SETTING,F015-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F016-A,F016,A,Class er note ta ekbar pathano jabe?,UNCLEAR,ACADEMIC,REQUEST,STUDENT,ACADEMIC_CONTACT,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F016-B|F016-C,TUMI,,TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F016-B,F016,B,Class er note ta ekbar pathano jabe?,UNCLEAR,ACADEMIC,REQUEST,STUDENT,ACADEMIC_CONTACT,HIGHER,SIMILAR,HIGH,INFORMAL,AUTHORITY,F016-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|FAMILIARITY|SETTING,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F016-C,F016,C,Class er note ta ekbar pathano jabe?,UNCLEAR,ACADEMIC,REQUEST,STUDENT,ACADEMIC_CONTACT,EQUAL,OLDER,HIGH,INFORMAL,AGE,F016-A,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F017-A,F017,A,Agamikaler class ta kothay hobe jana ache?,UNCLEAR,ACADEMIC,QUESTION,STUDENT,ACADEMIC_CONTACT,LOWER,YOUNGER,HIGH,INFORMAL,NONE,F017-B|F017-C,TUI,TUMI,TUI|TUMI,ANSWERABLE,HIGH,AUTHORITY|AGE|FAMILIARITY|SETTING,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F017-B,F017,B,Agamikaler class ta kothay hobe jana ache?,UNCLEAR,ACADEMIC,QUESTION,STUDENT,ACADEMIC_CONTACT,EQUAL,YOUNGER,HIGH,INFORMAL,AUTHORITY,F017-A,TUMI,TUI,TUMI|TUI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F017-C,F017,C,Agamikaler class ta kothay hobe jana ache?,UNCLEAR,ACADEMIC,QUESTION,STUDENT,ACADEMIC_CONTACT,LOWER,YOUNGER,LOW,INFORMAL,FAMILIARITY,F017-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|AGE|FAMILIARITY|SETTING,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F018-A,F018,A,Presentation er slide gulo dekhe motamot deya jabe?,UNCLEAR,ACADEMIC,REQUEST,STUDENT_PRESENTER,ACADEMIC_CONTACT,EQUAL,SIMILAR,MEDIUM,SEMI_FORMAL,NONE,F018-B|F018-C,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F018-B,F018,B,Presentation er slide gulo dekhe motamot deya jabe?,UNCLEAR,ACADEMIC,REQUEST,STUDENT_PRESENTER,ACADEMIC_CONTACT,HIGHER,SIMILAR,MEDIUM,SEMI_FORMAL,AUTHORITY,F018-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AUTHORITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F018-C,F018,C,Presentation er slide gulo dekhe motamot deya jabe?,UNCLEAR,ACADEMIC,REQUEST,STUDENT_PRESENTER,ACADEMIC_CONTACT,EQUAL,SIMILAR,MEDIUM,FORMAL,SETTING,F018-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F019-A,F019,A,Lab report jama deyar shomoy ta jana dorkar.,UNCLEAR,ACADEMIC,QUESTION,STUDENT,LAB_CONTACT,EQUAL,YOUNGER,HIGH,INFORMAL,NONE,F019-B|F019-C,TUMI,TUI,TUMI|TUI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F019-B,F019,B,Lab report jama deyar shomoy ta jana dorkar.,UNCLEAR,ACADEMIC,QUESTION,STUDENT,LAB_CONTACT,EQUAL,OLDER,HIGH,INFORMAL,AGE,F019-A,TUMI,APNI,TUMI|APNI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F019-C,F019,C,Lab report jama deyar shomoy ta jana dorkar.,UNCLEAR,ACADEMIC,QUESTION,STUDENT,LAB_CONTACT,EQUAL,YOUNGER,LOW,INFORMAL,FAMILIARITY,F019-A,APNI,TUMI,APNI|TUMI,ANSWERABLE,HIGH,AGE|FAMILIARITY|SETTING,0.25,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
F020-A,F020,A,Research topic ta niye ektu alochona kora jabe?,UNCLEAR,ACADEMIC,REQUEST,STUDENT_RESEARCHER,ACADEMIC_CONTACT,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F020-B|F020-C,TUMI,,TUMI,ANSWERABLE,HIGH,FAMILIARITY|SETTING,0.125,LIGHT,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,SOCIALCUE-BN-GOLD-V1.0
